Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1985,NL,Philadelphia Phillies,37,27.9,4.12,162,6122,5477,667,1343,238,47,141,628,122.0,51.0,527,1095.0,0.245,0.312,.383,0.695,92,2098,124.0,25.0,49.0,44.0,51.0,1099.0
1985,NL,Pittsburgh Pirates,43,28.2,3.53,161,6099,5436,568,1340,251,28,80,535,110.0,60.0,514,842.0,0.247,0.311,.347,0.658,85,1887,131.0,14.0,91.0,44.0,64.0,1132.0
1985,NL,San Diego Padres,33,29.7,4.01,162,6150,5507,650,1405,241,28,109,611,60.0,39.0,513,809.0,0.255,0.32,.368,0.688,93,2029,128.0,23.0,75.0,32.0,68.0,1156.0
1985,NL,San Francisco Giants,36,27.7,3.43,162,6063,5420,556,1263,217,31,115,517,99.0,55.0,488,962.0,0.233,0.299,.348,0.648,85,1887,121.0,37.0,93.0,25.0,53.0,1090.0
1985,NL,St. Louis Cardinals,37,27.6,4.61,162,6182,5467,747,1446,245,59,87,687,314.0,96.0,586,853.0,0.264,0.335,.379,0.714,100,2070,91.0,18.0,70.0,41.0,61.0,1105.0
1985,AL,Baltimore Orioles,38,29.6,5.08,161,6212,5517,818,1451,234,22,214,773,69.0,43.0,604,908.0,0.263,0.336,.430,0.765,111,2371,132.0,19.0,31.0,40.0,30.0,1124.0
1985,AL,Boston Red Sox,36,29.5,4.91,163,6420,5720,800,1615,292,31,162,760,66.0,27.0,562,816.0,0.282,0.347,.429,0.776,108,2455,164.0,30.0,50.0,57.0,39.0,1241.0
1985,AL,California Angels,41,32.2,4.52,162,6263,5442,732,1364,215,31,153,685,106.0,51.0,648,902.0,0.251,0.333,.386,0.719,97,2100,138.0,39.0,99.0,35.0,51.0,1165.0
1985,AL,Chicago White Sox,42,27.6,4.52,163,6089,5470,736,1386,247,37,146,695,108.0,56.0,471,843.0,0.253,0.315,.392,0.707,90,2145,119.0,43.0,59.0,45.0,40.0,1009.0
1985,AL,Cleveland Indians,38,28.0,4.5,162,6121,5527,729,1465,254,31,116,689,132.0,72.0,492,817.0,0.265,0.324,.385,0.709,95,2129,139.0,15.0,38.0,48.0,26.0,1068.0
1985,AL,Detroit Tigers,36,29.5,4.53,161,6223,5575,729,1413,254,45,202,703,75.0,41.0,526,926.0,0.253,0.318,.424,0.742,103,2363,81.0,27.0,40.0,53.0,56.0,1142.0
1985,AL,Kansas City Royals,35,30.9,4.24,162,6095,5500,687,1384,261,49,154,657,128.0,48.0,473,840.0,0.252,0.313,.401,0.714,95,2205,125.0,36.0,44.0,41.0,57.0,1057.0
