newspaper,league,date,url
The Washington tribune. [volume],eastern colored league,1925-03-28,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-03-28/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-11-14,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-11-14/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1925-11-07,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-11-07/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-07-08,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-07-08/ed-1/seq-7.pdf
The Washington times. [volume],eastern colored league,1929-02-20,https://chroniclingamerica.loc.gov/lccn/sn84026749/1929-02-20/ed-1/seq-16.pdf
The Washington tribune. [volume],eastern colored league,1924-06-28,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-06-28/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-05-17,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-17/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1926-08-13,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-08-13/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-07-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-07-01/ed-1/seq-8.pdf
The Washington tribune. [volume],eastern colored league,1927-08-26,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-08-26/ed-1/seq-5.pdf
The Washington times. [volume],eastern colored league,1924-04-26,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-04-26/ed-1/seq-23.pdf
The Washington tribune. [volume],eastern colored league,1924-08-02,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-08-02/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1926-12-31,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-12-31/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-07-29,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-07-29/ed-1/seq-7.pdf
The Washington times. [volume],eastern colored league,1924-04-23,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-04-23/ed-1/seq-20.pdf
The Washington tribune. [volume],eastern colored league,1927-09-09,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-09-09/ed-1/seq-5.pdf
The Washington tribune. [volume],eastern colored league,1924-08-23,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-08-23/ed-1/seq-4.pdf
Richmond planet. [volume],eastern colored league,1930-01-04,https://chroniclingamerica.loc.gov/lccn/sn84025841/1930-01-04/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-12-05,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-12-05/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-08-12,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-08-12/ed-1/seq-5.pdf
The Washington tribune. [volume],eastern colored league,1927-09-16,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-09-16/ed-1/seq-5.pdf
