newspaper,league,date,url
Fort Worth daily gazette.,players league,1890-03-04,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-03-04/ed-1/seq-4.pdf
The Roanoke times. [volume],players league,1890-09-16,https://chroniclingamerica.loc.gov/lccn/sn86071868/1890-09-16/ed-1/seq-1.pdf
The Washington herald. [volume],players league,1915-01-24,https://chroniclingamerica.loc.gov/lccn/sn83045433/1915-01-24/ed-1/seq-6.pdf
The Washington times. [volume],players league,1914-11-27,https://chroniclingamerica.loc.gov/lccn/sn84026749/1914-11-27/ed-1/seq-14.pdf
The herald. [microfilm reel],players league,1894-07-30,https://chroniclingamerica.loc.gov/lccn/sn85042461/1894-07-30/ed-1/seq-7.pdf
The Topeka state journal. [volume],players league,1901-06-24,https://chroniclingamerica.loc.gov/lccn/sn82016014/1901-06-24/ed-1/seq-2.pdf
Norwich bulletin. [volume],players league,1915-02-26,https://chroniclingamerica.loc.gov/lccn/sn82014086/1915-02-26/ed-1/seq-3.pdf
Honolulu star-bulletin. [volume],players league,1914-10-20,https://chroniclingamerica.loc.gov/lccn/sn82014682/1914-10-20/ed-1/seq-9.pdf
The Jersey City news.,players league,1890-06-09,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-06-09/ed-1/seq-3.pdf
Evening journal. [volume],players league,1914-10-13,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-10-13/ed-1/seq-11.pdf
Evening journal. [volume],players league,1914-10-13,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-10-13/ed-2/seq-11.pdf
The Indianapolis times. [volume],players league,1924-06-26,https://chroniclingamerica.loc.gov/lccn/sn82015313/1924-06-26/ed-1/seq-9.pdf
Newark evening star and Newark advertiser. [volume],players league,1914-10-28,https://chroniclingamerica.loc.gov/lccn/sn91064011/1914-10-28/ed-1/seq-14.pdf
Newark evening star and Newark advertiser. [volume],players league,1914-12-15,https://chroniclingamerica.loc.gov/lccn/sn91064011/1914-12-15/ed-1/seq-13.pdf
Newark evening star and Newark advertiser. [volume],players league,1915-01-05,https://chroniclingamerica.loc.gov/lccn/sn91064011/1915-01-05/ed-1/seq-12.pdf
The Cheyenne daily leader. [volume],players league,1891-02-01,https://chroniclingamerica.loc.gov/lccn/sn86072173/1891-02-01/ed-1/seq-2.pdf
The Cheyenne daily leader. [volume],players league,1891-08-08,https://chroniclingamerica.loc.gov/lccn/sn86072173/1891-08-08/ed-1/seq-4.pdf
The Richmond Virginian.,players league,1912-05-08,https://chroniclingamerica.loc.gov/lccn/sn90052005/1912-05-08/ed-1/seq-5.pdf
Daily Kennebec journal. [microfilm reel],players league,1908-10-10,https://chroniclingamerica.loc.gov/lccn/sn82014248/1908-10-10/ed-1/seq-4.pdf
The Cheyenne daily leader. [volume],players league,1892-11-13,https://chroniclingamerica.loc.gov/lccn/sn86072173/1892-11-13/ed-1/seq-4.pdf
The Milwaukee leader. [volume],players league,1914-09-15,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-09-15/ed-1/seq-5.pdf
The Anaconda standard. [volume],players league,1899-12-24,https://chroniclingamerica.loc.gov/lccn/sn84036012/1899-12-24/ed-1/seq-19.pdf
Newark evening star and Newark advertiser. [volume],players league,1915-01-18,https://chroniclingamerica.loc.gov/lccn/sn91064011/1915-01-18/ed-1/seq-12.pdf
The Waterbury Democrat. [volume],players league,1944-03-29,https://chroniclingamerica.loc.gov/lccn/sn82014085/1944-03-29/ed-1/seq-13.pdf
Pittsburg dispatch. [volume],players league,1890-08-30,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-30/ed-1/seq-6.pdf
The evening world. [volume],players league,1890-08-04,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-08-04/ed-4/seq-1.pdf
The evening world. [volume],players league,1890-07-30,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-07-30/ed-1/seq-1.pdf
Pittsburg dispatch. [volume],players league,1890-05-22,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-22/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1889-12-03,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-03/ed-1/seq-6.pdf
The Jersey City news.,players league,1890-05-07,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-05-07/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1890-10-21,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-21/ed-1/seq-6.pdf
Omaha daily bee.,players league,1890-03-16,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-03-16/ed-1/seq-2.pdf
The evening world. [volume],players league,1890-04-15,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-04-15/ed-3/seq-1.pdf
The evening world. [volume],players league,1890-07-19,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-07-19/ed-5/seq-1.pdf
The evening world. [volume],players league,1891-04-27,https://chroniclingamerica.loc.gov/lccn/sn83030193/1891-04-27/ed-3/seq-2.pdf
The Salt Lake herald. [volume],players league,1890-10-22,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-10-22/ed-1/seq-1.pdf
The Salt Lake herald. [volume],players league,1890-07-27,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-07-27/ed-1/seq-6.pdf
Lancaster daily intelligencer. [volume],players league,1890-05-31,https://chroniclingamerica.loc.gov/lccn/sn83032300/1890-05-31/ed-1/seq-6.pdf
Sacramento daily record-union. [volume],players league,1890-10-04,https://chroniclingamerica.loc.gov/lccn/sn82014381/1890-10-04/ed-1/seq-1.pdf
The Indianapolis journal. [volume],players league,1894-09-01,https://chroniclingamerica.loc.gov/lccn/sn82015679/1894-09-01/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1889-12-04,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-04/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-11-01,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-01/ed-1/seq-6.pdf
The Jersey City news.,players league,1890-07-31,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-07-31/ed-1/seq-3.pdf
The Washington times. [volume],players league,1904-05-06,https://chroniclingamerica.loc.gov/lccn/sn84026749/1904-05-06/ed-1/seq-3.pdf
The evening world. [volume],players league,1890-09-29,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-09-29/ed-4/seq-1.pdf
The evening world. [volume],players league,1890-08-20,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-08-20/ed-4/seq-1.pdf
The evening world. [volume],players league,1890-07-05,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-07-05/ed-4/seq-1.pdf
The evening world. [volume],players league,1890-07-29,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-07-29/ed-4/seq-1.pdf
Pittsburg dispatch. [volume],players league,1890-02-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-02-23/ed-1/seq-6.pdf
Omaha daily bee.,players league,1890-05-11,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-05-11/ed-1/seq-13.pdf
New-York tribune. [volume],players league,1918-08-07,https://chroniclingamerica.loc.gov/lccn/sn83030214/1918-08-07/ed-1/seq-12.pdf
The Washington times. [volume],players league,1915-02-18,https://chroniclingamerica.loc.gov/lccn/sn84026749/1915-02-18/ed-1/seq-13.pdf
Newark evening star and Newark advertiser. [volume],players league,1915-03-01,https://chroniclingamerica.loc.gov/lccn/sn91064011/1915-03-01/ed-1/seq-14.pdf
Lancaster daily intelligencer. [volume],players league,1889-11-16,https://chroniclingamerica.loc.gov/lccn/sn83032300/1889-11-16/ed-1/seq-6.pdf
South Bend news-times.,players league,1919-02-17,https://chroniclingamerica.loc.gov/lccn/sn87055779/1919-02-17/ed-1/seq-8.pdf
The Daily bulletin. [volume],players league,1891-05-15,https://chroniclingamerica.loc.gov/lccn/sn82016412/1891-05-15/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-05-12,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-05-12/ed-1/seq-1.pdf
South Bend news-times.,players league,1914-10-30,https://chroniclingamerica.loc.gov/lccn/sn87055779/1914-10-30/ed-1/seq-12.pdf
The Bridgeport times and evening farmer.,players league,1918-08-31,https://chroniclingamerica.loc.gov/lccn/sn92051227/1918-08-31/ed-1/seq-4.pdf
The Evening standard. [volume],players league,1912-10-08,https://chroniclingamerica.loc.gov/lccn/sn85058397/1912-10-08/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1889-11-30,https://chroniclingamerica.loc.gov/lccn/sn94053256/1889-11-30/ed-1/seq-1.pdf
Bisbee daily review. [volume],players league,1907-01-03,https://chroniclingamerica.loc.gov/lccn/sn84024827/1907-01-03/ed-1/seq-5.pdf
The Helena independent. [volume],players league,1890-05-18,https://chroniclingamerica.loc.gov/lccn/sn83025308/1890-05-18/ed-1/seq-1.pdf
The Butte daily bulletin. [volume],players league,1919-05-06,https://chroniclingamerica.loc.gov/lccn/sn83045085/1919-05-06/ed-1/seq-3.pdf
The evening times. [volume],players league,1906-12-14,https://chroniclingamerica.loc.gov/lccn/sn85042373/1906-12-14/ed-1/seq-33.pdf
The Washburn leader. [volume],players league,1890-08-16,https://chroniclingamerica.loc.gov/lccn/sn85000631/1890-08-16/ed-1/seq-4.pdf
The Maui news. [volume],players league,1922-01-10,https://chroniclingamerica.loc.gov/lccn/sn82014689/1922-01-10/ed-1/seq-2.pdf
Rock Island Argus.,players league,1915-02-18,https://chroniclingamerica.loc.gov/lccn/sn92053934/1915-02-18/ed-1/seq-10.pdf
Belding banner.,players league,1898-09-29,https://chroniclingamerica.loc.gov/lccn/sn96076641/1898-09-29/ed-1/seq-6.pdf
Fort Worth daily gazette.,players league,1890-09-18,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-09-18/ed-1/seq-1.pdf
El Paso herald.,players league,1919-10-13,https://chroniclingamerica.loc.gov/lccn/sn88084272/1919-10-13/ed-1/seq-13.pdf
The Bridgeport evening farmer. [volume],players league,1916-05-08,https://chroniclingamerica.loc.gov/lccn/sn84022472/1916-05-08/ed-1/seq-5.pdf
Evening public ledger. [volume],players league,1915-01-14,https://chroniclingamerica.loc.gov/lccn/sn83045211/1915-01-14/ed-1/seq-12.pdf
The Ekalaka eagle. [volume],players league,1915-01-29,https://chroniclingamerica.loc.gov/lccn/sn85053090/1915-01-29/ed-1/seq-6.pdf
Fort Worth daily gazette.,players league,1890-03-13,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-03-13/ed-1/seq-8.pdf
The Roanoke times. [volume],players league,1890-06-13,https://chroniclingamerica.loc.gov/lccn/sn86071868/1890-06-13/ed-1/seq-1.pdf
The Roanoke times. [volume],players league,1890-06-25,https://chroniclingamerica.loc.gov/lccn/sn86071868/1890-06-25/ed-1/seq-1.pdf
The Roanoke times. [volume],players league,1890-06-12,https://chroniclingamerica.loc.gov/lccn/sn86071868/1890-06-12/ed-1/seq-1.pdf
The Spokane press. [volume],players league,1908-09-22,https://chroniclingamerica.loc.gov/lccn/sn88085947/1908-09-22/ed-1/seq-6.pdf
Little Falls weekly transcript.,players league,1894-06-29,https://chroniclingamerica.loc.gov/lccn/sn89064526/1894-06-29/ed-1/seq-11.pdf
The Seattle post-intelligencer. [volume],players league,1890-07-31,https://chroniclingamerica.loc.gov/lccn/sn83045604/1890-07-31/ed-1/seq-6.pdf
The Washington times. [volume],players league,1914-10-16,https://chroniclingamerica.loc.gov/lccn/sn84026749/1914-10-16/ed-1/seq-14.pdf
The Topeka state journal. [volume],players league,1915-01-29,https://chroniclingamerica.loc.gov/lccn/sn82016014/1915-01-29/ed-1/seq-3.pdf
The Richmond palladium and sun-telegram. [volume],players league,1920-04-15,https://chroniclingamerica.loc.gov/lccn/sn86058226/1920-04-15/ed-1/seq-8.pdf
Los Angeles herald. [volume],players league,1890-10-04,https://chroniclingamerica.loc.gov/lccn/sn84025968/1890-10-04/ed-1/seq-1.pdf
The Daily Ardmoreite. [volume],players league,1922-05-15,https://chroniclingamerica.loc.gov/lccn/sn85042303/1922-05-15/ed-1/seq-6.pdf
The Alaska daily empire. [volume],players league,1914-11-30,https://chroniclingamerica.loc.gov/lccn/sn84020657/1914-11-30/ed-1/seq-3.pdf
The Washington times. [volume],players league,1919-05-03,https://chroniclingamerica.loc.gov/lccn/sn84026749/1919-05-03/ed-1/seq-18.pdf
Blackfoot news.,players league,1901-07-24,https://chroniclingamerica.loc.gov/lccn/sn88056017/1901-07-24/ed-1/seq-3.pdf
Evening journal. [volume],players league,1890-06-04,https://chroniclingamerica.loc.gov/lccn/sn85042354/1890-06-04/ed-1/seq-4.pdf
Evening journal. [volume],players league,1890-08-09,https://chroniclingamerica.loc.gov/lccn/sn85042354/1890-08-09/ed-1/seq-4.pdf
The Fargo forum and daily republican. [volume],players league,1912-06-20,https://chroniclingamerica.loc.gov/lccn/sn85042224/1912-06-20/ed-1/seq-8.pdf
New Britain herald. [microfilm reel],players league,1925-02-16,https://chroniclingamerica.loc.gov/lccn/sn82014519/1925-02-16/ed-1/seq-8.pdf
Evening journal. [volume],players league,1903-12-19,https://chroniclingamerica.loc.gov/lccn/sn85042354/1903-12-19/ed-1/seq-3.pdf
Evening journal. [volume],players league,1914-03-12,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-03-12/ed-1/seq-8.pdf
Evening journal. [volume],players league,1914-09-02,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-09-02/ed-1/seq-12.pdf
The Bismarck tribune. [volume],players league,1923-07-07,https://chroniclingamerica.loc.gov/lccn/sn85042243/1923-07-07/ed-1/seq-6.pdf
Perth Amboy evening news. [volume],players league,1907-12-16,https://chroniclingamerica.loc.gov/lccn/sn85035720/1907-12-16/ed-2/seq-9.pdf
The daily monitor leader. [volume],players league,1943-08-05,https://chroniclingamerica.loc.gov/lccn/sn96077289/1943-08-05/ed-1/seq-16.pdf
The daily monitor leader. [volume],players league,1944-03-16,https://chroniclingamerica.loc.gov/lccn/sn96077289/1944-03-16/ed-1/seq-16.pdf
The news and observer. [volume],players league,1890-10-10,https://chroniclingamerica.loc.gov/lccn/sn84024516/1890-10-10/ed-1/seq-1.pdf
The Birmingham age-herald. [volume],players league,1914-12-19,https://chroniclingamerica.loc.gov/lccn/sn85038485/1914-12-19/ed-1/seq-8.pdf
The Michigan chronicle. [volume],players league,1944-07-08,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-07-08/ed-1/seq-15.pdf
The Cheyenne daily leader. [volume],players league,1891-10-08,https://chroniclingamerica.loc.gov/lccn/sn86072173/1891-10-08/ed-1/seq-2.pdf
Pine Bluff daily graphic.,players league,1905-10-10,https://chroniclingamerica.loc.gov/lccn/sn89051168/1905-10-10/ed-1/seq-6.pdf
The Richmond Virginian.,players league,1914-11-22,https://chroniclingamerica.loc.gov/lccn/sn90052005/1914-11-22/ed-1/seq-15.pdf
The Rawlins Republican.,players league,1894-10-18,https://chroniclingamerica.loc.gov/lccn/sn90051455/1894-10-18/ed-1/seq-3.pdf
The Birmingham age-herald. [volume],players league,1922-02-06,https://chroniclingamerica.loc.gov/lccn/sn85038485/1922-02-06/ed-1/seq-6.pdf
The Cheyenne daily leader. [volume],players league,1892-07-28,https://chroniclingamerica.loc.gov/lccn/sn86072173/1892-07-28/ed-1/seq-4.pdf
The Cheyenne daily leader. [volume],players league,1892-05-28,https://chroniclingamerica.loc.gov/lccn/sn86072173/1892-05-28/ed-1/seq-4.pdf
The weekly exponent.,players league,1912-06-21,https://chroniclingamerica.loc.gov/lccn/sn88071052/1912-06-21/ed-1/seq-7.pdf
The Milwaukee leader. [volume],players league,1914-11-21,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-11-21/ed-1/seq-9.pdf
Waterbury evening Democrat. [volume],players league,1890-07-29,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-07-29/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-04-14,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-04-14/ed-1/seq-1.pdf
The Seattle post-intelligencer. [volume],players league,1891-02-15,https://chroniclingamerica.loc.gov/lccn/sn83045604/1891-02-15/ed-1/seq-3.pdf
Morning journal and courier. [volume],players league,1890-03-01,https://chroniclingamerica.loc.gov/lccn/sn82015483/1890-03-01/ed-1/seq-2.pdf
Pittsburg dispatch. [volume],players league,1890-08-28,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-28/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-07-29,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-07-29/ed-1/seq-6.pdf
The sun. [volume],players league,1890-11-06,https://chroniclingamerica.loc.gov/lccn/sn83030272/1890-11-06/ed-1/seq-5.pdf
The sun. [volume],players league,1890-11-08,https://chroniclingamerica.loc.gov/lccn/sn83030272/1890-11-08/ed-1/seq-4.pdf
The Portland daily press. [volume],players league,1890-08-21,https://chroniclingamerica.loc.gov/lccn/sn83016025/1890-08-21/ed-1/seq-1.pdf
The Portland daily press. [volume],players league,1890-08-28,https://chroniclingamerica.loc.gov/lccn/sn83016025/1890-08-28/ed-1/seq-1.pdf
The Portland daily press. [volume],players league,1890-08-11,https://chroniclingamerica.loc.gov/lccn/sn83016025/1890-08-11/ed-1/seq-1.pdf
The Portland daily press. [volume],players league,1890-07-21,https://chroniclingamerica.loc.gov/lccn/sn83016025/1890-07-21/ed-1/seq-1.pdf
The Salt Lake herald. [volume],players league,1909-02-21,https://chroniclingamerica.loc.gov/lccn/sn85058130/1909-02-21/ed-1/seq-8.pdf
The Bridgeport evening farmer. [volume],players league,1914-08-22,https://chroniclingamerica.loc.gov/lccn/sn84022472/1914-08-22/ed-1/seq-8.pdf
Waterbury evening Democrat. [volume],players league,1890-10-10,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-10-10/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-07-18,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-07-18/ed-1/seq-1.pdf
Omaha daily bee.,players league,1890-03-23,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-03-23/ed-1/seq-9.pdf
The evening world. [volume],players league,1915-01-22,https://chroniclingamerica.loc.gov/lccn/sn83030193/1915-01-22/ed-1/seq-18.pdf
Waterbury Democrat. [volume],players league,1902-01-27,https://chroniclingamerica.loc.gov/lccn/sn93053725/1902-01-27/ed-1/seq-7.pdf
The Marion daily mirror.,players league,1907-11-16,https://chroniclingamerica.loc.gov/lccn/sn88077573/1907-11-16/ed-1/seq-6.pdf
The times. [volume],players league,1898-08-28,https://chroniclingamerica.loc.gov/lccn/sn85054468/1898-08-28/ed-1/seq-8.pdf
The Salt Lake herald. [volume],players league,1891-01-29,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-01-29/ed-1/seq-7.pdf
The Calumet news. [volume],players league,1913-10-20,https://chroniclingamerica.loc.gov/lccn/sn86086633/1913-10-20/ed-1/seq-7.pdf
The Wichita daily eagle. [volume],players league,1890-10-03,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-10-03/ed-1/seq-6.pdf
Omaha daily bee.,players league,1890-01-05,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-01-05/ed-1/seq-9.pdf
The Wichita daily eagle. [volume],players league,1891-08-21,https://chroniclingamerica.loc.gov/lccn/sn82014635/1891-08-21/ed-1/seq-7.pdf
The Wichita daily eagle. [volume],players league,1891-02-19,https://chroniclingamerica.loc.gov/lccn/sn82014635/1891-02-19/ed-1/seq-6.pdf
The evening times. [volume],players league,1897-08-27,https://chroniclingamerica.loc.gov/lccn/sn84024441/1897-08-27/ed-1/seq-6.pdf
El Paso herald.,players league,1919-07-14,https://chroniclingamerica.loc.gov/lccn/sn88084272/1919-07-14/ed-1/seq-9.pdf
The times. [volume],players league,1898-02-15,https://chroniclingamerica.loc.gov/lccn/sn85054468/1898-02-15/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-12-05,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-12-05/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-01-20,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-01-20/ed-1/seq-6.pdf
The Bridgeport times and evening farmer.,players league,1919-10-20,https://chroniclingamerica.loc.gov/lccn/sn92051227/1919-10-20/ed-1/seq-4.pdf
Norwich bulletin. [volume],players league,1914-11-18,https://chroniclingamerica.loc.gov/lccn/sn82014086/1914-11-18/ed-1/seq-3.pdf
The Topeka state journal. [volume],players league,1903-09-23,https://chroniclingamerica.loc.gov/lccn/sn82016014/1903-09-23/ed-1/seq-2.pdf
The Washington herald. [volume],players league,1914-11-25,https://chroniclingamerica.loc.gov/lccn/sn83045433/1914-11-25/ed-1/seq-10.pdf
The Jersey City news.,players league,1890-07-14,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-07-14/ed-1/seq-3.pdf
Wheeling Sunday register. [volume],players league,1893-06-11,https://chroniclingamerica.loc.gov/lccn/sn86092523/1893-06-11/ed-1/seq-6.pdf
The Waterbury Democrat. [volume],players league,1939-09-07,https://chroniclingamerica.loc.gov/lccn/sn82014085/1939-09-07/ed-1/seq-14.pdf
The Richmond Virginian.,players league,1912-06-26,https://chroniclingamerica.loc.gov/lccn/sn90052005/1912-06-26/ed-1/seq-5.pdf
Daily Kennebec journal. [microfilm reel],players league,1909-11-03,https://chroniclingamerica.loc.gov/lccn/sn82014248/1909-11-03/ed-1/seq-4.pdf
The Montgomery advertiser. [volume],players league,1908-10-11,https://chroniclingamerica.loc.gov/lccn/sn84020645/1908-10-11/ed-1/seq-25.pdf
The Milwaukee leader. [volume],players league,1914-12-21,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-12-21/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-07-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-07-25/ed-1/seq-6.pdf
Morning journal and courier. [volume],players league,1890-01-29,https://chroniclingamerica.loc.gov/lccn/sn82015483/1890-01-29/ed-1/seq-2.pdf
The evening world. [volume],players league,1890-08-07,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-08-07/ed-4/seq-1.pdf
Pittsburg dispatch. [volume],players league,1890-06-07,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-06-07/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-04-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-25/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-09-05,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-05/ed-1/seq-6.pdf
Richmond times-dispatch. [volume],players league,1915-02-19,https://chroniclingamerica.loc.gov/lccn/sn83045389/1915-02-19/ed-1/seq-8.pdf
Pittsburg dispatch. [volume],players league,1891-10-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1891-10-25/ed-1/seq-16.pdf
Lancaster daily intelligencer. [volume],players league,1889-11-23,https://chroniclingamerica.loc.gov/lccn/sn83032300/1889-11-23/ed-1/seq-6.pdf
The evening times. [volume],players league,1896-08-12,https://chroniclingamerica.loc.gov/lccn/sn84024441/1896-08-12/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1891-02-04,https://chroniclingamerica.loc.gov/lccn/sn84024546/1891-02-04/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-10-30,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-30/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1891-02-19,https://chroniclingamerica.loc.gov/lccn/sn84024546/1891-02-19/ed-1/seq-9.pdf
Norwich bulletin. [volume],players league,1914-11-20,https://chroniclingamerica.loc.gov/lccn/sn82014086/1914-11-20/ed-1/seq-3.pdf
The Irish standard. [volume],players league,1890-03-22,https://chroniclingamerica.loc.gov/lccn/sn90059959/1890-03-22/ed-1/seq-2.pdf
The Sunday herald and weekly national intelligencer. [volume],players league,1891-01-18,https://chroniclingamerica.loc.gov/lccn/sn82016373/1891-01-18/ed-1/seq-5.pdf
The Sunday herald and weekly national intelligencer. [volume],players league,1890-03-30,https://chroniclingamerica.loc.gov/lccn/sn82016373/1890-03-30/ed-1/seq-8.pdf
The Sunday herald and weekly national intelligencer. [volume],players league,1891-02-15,https://chroniclingamerica.loc.gov/lccn/sn82016373/1891-02-15/ed-1/seq-8.pdf
The Ottawa free trader. [volume],players league,1890-03-22,https://chroniclingamerica.loc.gov/lccn/sn84038582/1890-03-22/ed-1/seq-2.pdf
South Bend news-times.,players league,1919-04-14,https://chroniclingamerica.loc.gov/lccn/sn87055779/1919-04-14/ed-1/seq-8.pdf
Pittsburg dispatch. [volume],players league,1890-07-31,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-07-31/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-10-14,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-14/ed-1/seq-6.pdf
The Washington herald. [volume],players league,1910-09-17,https://chroniclingamerica.loc.gov/lccn/sn83045433/1910-09-17/ed-1/seq-9.pdf
The Jersey City news.,players league,1890-06-20,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-06-20/ed-1/seq-3.pdf
Waterbury evening Democrat. [volume],players league,1890-09-20,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-09-20/ed-1/seq-2.pdf
Omaha daily bee.,players league,1890-05-31,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-05-31/ed-1/seq-2.pdf
The evening world. [volume],players league,1890-06-27,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-06-27/ed-3/seq-1.pdf
The evening world. [volume],players league,1890-07-17,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-07-17/ed-4/seq-1.pdf
The evening world. [volume],players league,1890-09-22,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-09-22/ed-4/seq-1.pdf
The daily critic.,players league,1890-09-03,https://chroniclingamerica.loc.gov/lccn/sn2008058170/1890-09-03/ed-1/seq-1.pdf
The Salt Lake herald. [volume],players league,1890-06-01,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-06-01/ed-1/seq-1.pdf
The Salt Lake herald. [volume],players league,1890-07-02,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-07-02/ed-1/seq-1.pdf
The Salt Lake herald. [volume],players league,1890-04-20,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-04-20/ed-1/seq-1.pdf
Sacramento daily record-union. [volume],players league,1890-09-25,https://chroniclingamerica.loc.gov/lccn/sn82014381/1890-09-25/ed-1/seq-1.pdf
Fort Worth daily gazette.,players league,1890-02-26,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-02-26/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-05-29,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-29/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-03-06,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-03-06/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-04-10,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-10/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-04-15,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-15/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1889-12-11,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-11/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-08-19,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-19/ed-1/seq-6.pdf
