newspaper,league,date,url
The Waterbury Democrat. [volume],players league,1945-04-26,https://chroniclingamerica.loc.gov/lccn/sn82014085/1945-04-26/ed-1/seq-16.pdf
The Bridgeport evening farmer. [volume],players league,1917-02-01,https://chroniclingamerica.loc.gov/lccn/sn84022472/1917-02-01/ed-1/seq-10.pdf
The Richmond Virginian.,players league,1917-02-01,https://chroniclingamerica.loc.gov/lccn/sn90052005/1917-02-01/ed-1/seq-5.pdf
The Daily bulletin. [volume],players league,1891-01-28,https://chroniclingamerica.loc.gov/lccn/sn82016412/1891-01-28/ed-1/seq-1.pdf
Fisherman & farmer. [volume],players league,1890-08-29,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-08-29/ed-1/seq-6.pdf
Omaha daily bee.,players league,1890-10-26,https://chroniclingamerica.loc.gov/lccn/sn99021999/1890-10-26/ed-1/seq-13.pdf
Pittsburg dispatch. [volume],players league,1890-04-27,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-27/ed-1/seq-14.pdf
The Seattle post-intelligencer. [volume],players league,1891-01-19,https://chroniclingamerica.loc.gov/lccn/sn83045604/1891-01-19/ed-1/seq-3.pdf
The Cheyenne daily leader. [volume],players league,1890-11-12,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-11-12/ed-1/seq-4.pdf
New Britain herald. [microfilm reel],players league,1917-02-02,https://chroniclingamerica.loc.gov/lccn/sn82014519/1917-02-02/ed-1/seq-12.pdf
The Wichita daily eagle. [volume],players league,1890-09-23,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-09-23/ed-1/seq-7.pdf
The Cheyenne daily leader. [volume],players league,1890-07-23,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-07-23/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-03-31,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-03-31/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-04-19,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-19/ed-1/seq-6.pdf
The Wichita daily eagle. [volume],players league,1890-07-29,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-07-29/ed-1/seq-8.pdf
The Wichita daily eagle. [volume],players league,1890-08-06,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-08-06/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-11-09,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-09/ed-1/seq-16.pdf
Daily Yellowstone journal. [volume],players league,1890-07-20,https://chroniclingamerica.loc.gov/lccn/sn86075021/1890-07-20/ed-1/seq-4.pdf
The Worcester spy. [volume],players league,1900-12-09,https://chroniclingamerica.loc.gov/lccn/sn86086481/1900-12-09/ed-1/seq-3.pdf
