newspaper,league,date,url
The Indianapolis times. [volume],negro national league,1926-04-30,https://chroniclingamerica.loc.gov/lccn/sn82015313/1926-04-30/ed-1/seq-23.pdf
The Waterbury Democrat. [volume],negro national league,1946-06-12,https://chroniclingamerica.loc.gov/lccn/sn82014085/1946-06-12/ed-1/seq-10.pdf
Franklin's paper the statesman.,negro national league,1911-02-11,https://chroniclingamerica.loc.gov/lccn/sn91052311/1911-02-11/ed-1/seq-12.pdf
Arizona sun. [volume],negro national league,1951-03-09,https://chroniclingamerica.loc.gov/lccn/sn84021917/1951-03-09/ed-1/seq-5.pdf
The Ohio daily-express.,negro national league,1948-09-20,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-09-20/ed-1/seq-1.pdf
The Ohio daily-express.,negro national league,1948-02-18,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-02-18/ed-1/seq-1.pdf
The Ohio daily-express.,negro national league,1949-05-14,https://chroniclingamerica.loc.gov/lccn/sn88077226/1949-05-14/ed-1/seq-1.pdf
The Ohio daily-express.,negro national league,1950-05-03,https://chroniclingamerica.loc.gov/lccn/sn88077226/1950-05-03/ed-1/seq-1.pdf
Metropolitan news.,negro national league,1936-10-24,https://chroniclingamerica.loc.gov/lccn/sn91055359/1936-10-24/ed-1/seq-14.pdf
The daily bulletin. [volume],negro national league,1946-04-30,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-04-30/ed-1/seq-1.pdf
The daily bulletin. [volume],negro national league,1945-07-23,https://chroniclingamerica.loc.gov/lccn/sn84024221/1945-07-23/ed-1/seq-1.pdf
The Chicago star.,negro national league,1947-07-19,https://chroniclingamerica.loc.gov/lccn/sn87062321/1947-07-19/ed-1/seq-15.pdf
The powder keg. [volume],negro national league,1945-06-29,https://chroniclingamerica.loc.gov/lccn/2023271000/1945-06-29/ed-1/seq-6.pdf
The Chicago whip.,negro national league,1921-04-16,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-04-16/ed-1/seq-7.pdf
The Phoenix index.,negro national league,1941-08-02,https://chroniclingamerica.loc.gov/lccn/sn96060866/1941-08-02/ed-1/seq-6.pdf
The Michigan chronicle. [volume],negro national league,1944-12-16,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-12-16/ed-1/seq-15.pdf
The Birmingham age-herald. [volume],negro national league,1923-09-08,https://chroniclingamerica.loc.gov/lccn/sn85038485/1923-09-08/ed-1/seq-11.pdf
The Michigan chronicle. [volume],negro national league,1942-05-16,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-05-16/ed-1/seq-12.pdf
The Detroit tribune.,negro national league,1942-06-13,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-06-13/ed-1/seq-11.pdf
Brownsville herald. [volume],negro national league,1929-03-03,https://chroniclingamerica.loc.gov/lccn/sn86063730/1929-03-03/ed-1/seq-7.pdf
Chicago world.,negro national league,1948-12-11,https://chroniclingamerica.loc.gov/lccn/sn91055455/1948-12-11/ed-1/seq-1.pdf
The Miami times. [volume],negro national league,1948-12-18,https://chroniclingamerica.loc.gov/lccn/sn83004231/1948-12-18/ed-1/seq-6.pdf
Twin-City herald. [volume],negro national league,1934-08-11,https://chroniclingamerica.loc.gov/lccn/sn90060227/1934-08-11/ed-1/seq-3.pdf
Jackson advocate. [volume],negro national league,1942-08-15,https://chroniclingamerica.loc.gov/lccn/sn79000083/1942-08-15/ed-1/seq-6.pdf
The Detroit tribune.,negro national league,1942-05-30,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-05-30/ed-1/seq-7.pdf
Arkansas State press. [volume],negro national league,1941-05-23,https://chroniclingamerica.loc.gov/lccn/sn84025840/1941-05-23/ed-1/seq-5.pdf
Jackson advocate. [volume],negro national league,1942-03-14,https://chroniclingamerica.loc.gov/lccn/sn79000083/1942-03-14/ed-1/seq-6.pdf
Jackson advocate. [volume],negro national league,1947-03-08,https://chroniclingamerica.loc.gov/lccn/sn79000083/1947-03-08/ed-1/seq-1.pdf
The Phoenix index.,negro national league,1942-03-14,https://chroniclingamerica.loc.gov/lccn/sn96060866/1942-03-14/ed-1/seq-6.pdf
The Michigan chronicle. [volume],negro national league,1942-06-20,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-06-20/ed-1/seq-21.pdf
The Michigan chronicle. [volume],negro national league,1945-06-02,https://chroniclingamerica.loc.gov/lccn/sn83045324/1945-06-02/ed-1/seq-15.pdf
The Detroit tribune.,negro national league,1948-06-09,https://chroniclingamerica.loc.gov/lccn/sn92063852/1948-06-09/ed-1/seq-6.pdf
The Chicago whip.,negro national league,1922-05-20,https://chroniclingamerica.loc.gov/lccn/sn86056950/1922-05-20/ed-1/seq-7.pdf
The Omaha guide. [volume],negro national league,1937-10-16,https://chroniclingamerica.loc.gov/lccn/sn93062828/1937-10-16/ed-1/seq-3.pdf
The Washington tribune. [volume],negro national league,1924-01-05,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-01-05/ed-1/seq-4.pdf
The Detroit tribune.,negro national league,1948-07-10,https://chroniclingamerica.loc.gov/lccn/sn92063852/1948-07-10/ed-1/seq-7.pdf
The Wilmington morning star. [volume],negro national league,1942-05-03,https://chroniclingamerica.loc.gov/lccn/sn78002169/1942-05-03/ed-1/seq-8.pdf
The Omaha guide. [volume],negro national league,1939-05-27,https://chroniclingamerica.loc.gov/lccn/sn93062828/1939-05-27/ed-1/seq-6.pdf
The Michigan chronicle. [volume],negro national league,1945-02-17,https://chroniclingamerica.loc.gov/lccn/sn83045324/1945-02-17/ed-1/seq-15.pdf
St. Paul recorder. [volume],negro national league,1952-06-06,https://chroniclingamerica.loc.gov/lccn/sn83016804/1952-06-06/ed-1/seq-8.pdf
Hartford chronicle.,negro national league,1946-06-15,https://chroniclingamerica.loc.gov/lccn/sn92051342/1946-06-15/ed-1/seq-7.pdf
The Indianapolis times. [volume],negro national league,1923-07-31,https://chroniclingamerica.loc.gov/lccn/sn82015313/1923-07-31/ed-1/seq-9.pdf
The Michigan chronicle. [volume],negro national league,1944-05-27,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-05-27/ed-1/seq-14.pdf
The Detroit tribune.,negro national league,1938-01-22,https://chroniclingamerica.loc.gov/lccn/sn92063852/1938-01-22/ed-1/seq-10.pdf
The Detroit tribune.,negro national league,1948-12-11,https://chroniclingamerica.loc.gov/lccn/sn92063852/1948-12-11/ed-1/seq-19.pdf
The Apache sentinel. [volume],negro national league,1945-01-26,https://chroniclingamerica.loc.gov/lccn/sn95060813/1945-01-26/ed-1/seq-7.pdf
The Dayton forum. [volume],negro national league,1939-05-26,https://chroniclingamerica.loc.gov/lccn/sn84024234/1939-05-26/ed-1/seq-7.pdf
The Miami times. [volume],negro national league,1948-12-11,https://chroniclingamerica.loc.gov/lccn/sn83004231/1948-12-11/ed-1/seq-9.pdf
The voice. [volume],negro national league,1949-10-13,https://chroniclingamerica.loc.gov/lccn/2019270505/1949-10-13/ed-1/seq-1.pdf
The Michigan chronicle. [volume],negro national league,1944-08-05,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-08-05/ed-1/seq-15.pdf
The Indianapolis times. [volume],negro national league,1925-05-02,https://chroniclingamerica.loc.gov/lccn/sn82015313/1925-05-02/ed-1/seq-3.pdf
The Indianapolis times. [volume],negro national league,1925-05-04,https://chroniclingamerica.loc.gov/lccn/sn82015313/1925-05-04/ed-1/seq-9.pdf
The Indianapolis times. [volume],negro national league,1926-05-14,https://chroniclingamerica.loc.gov/lccn/sn82015313/1926-05-14/ed-1/seq-22.pdf
The Birmingham age-herald. [volume],negro national league,1923-08-20,https://chroniclingamerica.loc.gov/lccn/sn85038485/1923-08-20/ed-1/seq-9.pdf
Sunday Chicago bee. [volume],negro national league,1942-03-01,https://chroniclingamerica.loc.gov/lccn/sn82015409/1942-03-01/ed-1/seq-11.pdf
The Detroit tribune.,negro national league,1948-07-17,https://chroniclingamerica.loc.gov/lccn/sn92063852/1948-07-17/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1947-08-02,https://chroniclingamerica.loc.gov/lccn/sn92063852/1947-08-02/ed-1/seq-9.pdf
The Detroit tribune.,negro national league,1953-06-06,https://chroniclingamerica.loc.gov/lccn/sn92063852/1953-06-06/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1945-06-16,https://chroniclingamerica.loc.gov/lccn/sn83045324/1945-06-16/ed-1/seq-15.pdf
Jackson advocate. [volume],negro national league,1943-04-03,https://chroniclingamerica.loc.gov/lccn/sn79000083/1943-04-03/ed-1/seq-6.pdf
Evening star. [volume],negro national league,1947-07-03,https://chroniclingamerica.loc.gov/lccn/sn83045462/1947-07-03/ed-1/seq-8.pdf
The Dallas express. [volume],negro national league,1921-11-19,https://chroniclingamerica.loc.gov/lccn/sn83025779/1921-11-19/ed-1/seq-5.pdf
The Chicago whip.,negro national league,1921-09-24,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-09-24/ed-1/seq-7.pdf
